Klasor Adi;Ders Adi;Kurum
c2bdcd65896ccb7d920c772a7023ec30413ca386-1745776438976;TÜRKİYE'DE ÇOCUK EDEBİYATI-5;Kurum Girilecek
7eea4b6f799e0f1acf5618b0ec86a20d157ecae7-1719488740468;2024 Haziran EB Materyal/Sınıf Yönetimi ;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1733845782050;servet-i fünun - 1;Kurum Girilecek
dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1709657399055;CUMHURİYET ŞİİRİ -5;Kurum Girilecek
82cc083d3b56203e23c46a0bb06c54dde110770c-1734191876875;2025 Eski Türk Dili ;Kurum Girilecek
059f2ad29732c04932217af6f0290782094cecca-1751044511814;İlker Hayat-Eski Türk Edebiyatı Yıl Sonu Kampı-2;Kurum Girilecek
7d856a5528132d97c75d058e84f41111ba0cfb69-1749059904909;beyit inceleme;Kurum Girilecek
8b04ea855d9d5c790faa74e3a476ed6085b6364e-1720461740543;ille de roman olsun 2;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1772819456682;MİLLİ EDEBİYAT-9 (BAĞIMSIZ SNATÇILAR);Kurum Girilecek
3952b1ba6290cff1170a97c1b872549e03a00571-1735919197620;28) Dil bilgisi [Sözcük Türleri (tamlamalar)]-2;Kurum Girilecek
ef878d923f33d264a4b00bac244da267a9d3c84c-1741106894894;222 Sayılı Kanun;Kurum Girilecek
7ba947de446be7760e25b32e703e0e68d9faedad-1711126556281;Halk Edebiyatı Konu: Aşık Edebiyatı Şairleri;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1708019450621;dede korkut motifler;Kurum Girilecek
f69aaee07145fd42bcd89c1100db51f6e7853dc0-1704734824514;İnkılap Tarihi Konu: ;Kurum Girilecek
51ff007f49e5d77e56517d69fb5c853e9d09bd18-1775580352843;DİNLEME ÖĞRENME ÇIKTILARI - 3;Kurum Girilecek
eda306af868d31cb7c67150f7a8438ccbe537682-1735056055432;Anayasa ;Kurum Girilecek
51ff007f49e5d77e56517d69fb5c853e9d09bd18-1776617482468;KONUŞMA ÖĞRENME ÇIKTILARI - 2;Kurum Girilecek
43a58d1cab87512604e411d5dac0ffce2d5693fe-1699801267274;TYT Geometri Konu: ;Kurum Girilecek
ae512aa6215fa13c94c7d99dc8b1aca42408e19c-1690894400821;Eski Dil Genel Tekrar ;Kurum Girilecek
3af846574fd50b2f85a88fec4e1df1aa4af0361e-1741123270341;2. DENEME DİLBİLGİSİ - DİLBİLİM -EDEBİYAT ÇÖZÜMLERİ;Kurum Girilecek
4e115b4f2f6895ce8fc92bc882a966a33afede39-1770573764717;ARUZ SON;Kurum Girilecek
3c638bb2171be1a99400ffa7991ab5a991868755-1720093642216;2024 Haziran İslamiyet Ö. ve İslamiyet Dönemi Türk Tarihi;Kurum Girilecek
c2bdcd65896ccb7d920c772a7023ec30413ca386-1744568243483;ÇOCUK EDEBİYATININ TARİHÇESİ-2;Kurum Girilecek
e9653cae02db6e33db0cc16fae2697c7a8250938-1744472719009;Eski Türk Dili ;Kurum Girilecek
8b04ea855d9d5c790faa74e3a476ed6085b6364e-1709922321895;DÜNYA EDEBİYATI- LAFIGÜZAF;Kurum Girilecek
975229ad30f83f67fff0cb3430c313edfa6e64a6-1739710702044;SORU ÇÖZÜMÜ 3;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1715333503031;4. DENEME (EDEBİYAT DERSLERİ);Kurum Girilecek
008c1da6fb6014913c2e6979fb8ebe1d8d07ff4d-1703606375246;YKS Tarih Konu: (OSMANLI ARAYIŞ YILLARI - DİPLOMASİ VE DEĞİŞİM DÖNEMİ);Kurum Girilecek
58fee96126fbde0c4f5e3c147df457ad979a56d4-1704300908418;söz sanatları;Kurum Girilecek
63175c9bc1a07dc877cffb0f987d9d6585316670-1745688268114;FONOLOJİ/FONETİK SORU ÇÖZÜMÜ;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1769618971749;YENİ TÜRK EDEBİYATININ OLUŞUMU-1;Kurum Girilecek
9efc67790eb2c0245bb56d110886ab27563acbae-1755430307973;deneme;Kurum Girilecek
309a6288c68c8795c98abf203b3d21c0bf32e2a8-1713541518226;Halk Edebiyatı Konu: Tekke-Tasavvuf Edebiyatı Şairleri;Kurum Girilecek
a21af8b0b4e91cee6344c72c475281db5cdfefbc-1746115052110;4 Temel Beceri 2;Kurum Girilecek
c5ea682486b925942fe8f42b4e76233e0201bda0-1707234349426;TYT Tarih Konu: (I.DÜNYA SAVAŞI);Kurum Girilecek
57a572304294c4f40ffb543a8d8f79f3c0fff2c3-1745944571400;Sözel Mantık 3;Kurum Girilecek
6fb816cac8d877ed782a082bbfb25c5eb5744b39-1763394854958;halk edeb. tür ve şekil;Kurum Girilecek
c69c8817ae1f16582a718c1a9b50271572535bcf-1746805845537;2025 Yeni Türk Edebiyatı ;Kurum Girilecek
35055dac95adb3f6c0c8afe1593ea9f87912dc72-1766936653945;Amerikan son;Kurum Girilecek
39fe8a37d271488b75c760794066881507a4059d-1686663923139;GYGK Türkçe Dil Bilgisi 1 ;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1707054583206;efsane ve masal türü;Kurum Girilecek
ad151c576f601dc0151d34b6e523c0f23a933705-1756146581384;deneme hukuk segbis;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1730306838624;beyit inceleme ve nazım şekilleri;Kurum Girilecek
d2be6d6ff2bc820fda8d18fc9014355d730f4db1-1745336867390;2025 paragraf Mş;Kurum Girilecek
fd318de59da28c8f93eac1c82a8585f35e4f95d7-1748535859647;2025 Eski Türk Dili ;Kurum Girilecek
2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1773769523249;YAZMA TÜR, YÖNTEM VE TEKNİKLERİ - 2;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1731433880430;TANZİMAT EDEBİYATI -1;Kurum Girilecek
6d12ea57ac36dce812eeb106a589d3ea383e916b-1748156669391;2025 Mevzuat +Anayasa soru çözümü ;Kurum Girilecek
c495c9aaf3f4d6fd23b281cd57eabbbad22320f7-1708443940863;YKS Tarih Konu: ;Kurum Girilecek
5a1bdd968f67d43427d63cd88989cbff430c5a9f-1690458926349;Halk Edebiyatı Çıkmış Soru Analizi 1 ;Kurum Girilecek
0862aa807da58cfbb341fba152e3bb3ed45a7010-1720590301555;2024 GYGK Haziran Kampı Türkçe;Kurum Girilecek
eed77d0a78d631cf0e50bb0665991e3bd5d0a780-1716833413932;AYT Matematik: ;Kurum Girilecek
85cf7f78d52f24b1855c37e9a252bd190adc9774-1683395048516;SORU ÇÖZÜMÜ - 1;Kurum Girilecek
6374a10c7d49050c168fec67ae6195ba4698d149-1700673947059;Türkçe Konu: Zamir - Sıfat ;Kurum Girilecek
4ede51ae4e134e7317e106246cd9debc26754517-1739893777002;Mevzuat 222 Sayılı Kanun;Kurum Girilecek
31d6628b76b939c0810421b8b5bad2dba35a4763-1696002987284;Sözel Mantık 4;Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1761932443466;FONETİK / FONOLOJİ;Kurum Girilecek
0ad706fd1a062ffc83fa4d4554f419e1af7662ac-1695051931828;MATEMATİK 1;Kurum Girilecek
0310ca0afff5c6329c0426f7821490caa76a8e8f-1711731337802;Halk Edebiyatı Konu: Aşık Edebiyatı 19-20.yy Sanatçıları;Kurum Girilecek
7d856a5528132d97c75d058e84f41111ba0cfb69-1741800454007;sorularla genel tekrar ve analiz;Kurum Girilecek
059f2ad29732c04932217af6f0290782094cecca-1751385671419;yeni türk edebiyatı soru çözüm-1;Kurum Girilecek
c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1746204397384;2023 SORULARININ ÇÖZÜMLERİ - ANALİZİ;Kurum Girilecek
53e21604c4a95ed08233b0e0ff2ea3bddf7a0a70-1745996228269;Matematik : ;Kurum Girilecek
7b94795234fb8ca13e2196128a653a9262f08a2b-1707154874533;İnkılap Tarihi Konu: ;Kurum Girilecek
a339769726520a19eda583022b99686ae9ac39f7-1699631693560;TYT Kimya Konu: ;Kurum Girilecek
8b04ea855d9d5c790faa74e3a476ed6085b6364e-1709925135875;DÜNYA EDEBİYATI- DUNYAYI YEDİNİZ...;Kurum Girilecek
4821b643a1facdf1b0896c5424203ba374211dcb-1751457456279;2025 Eski Edebiyat Soru Çözümü ;Kurum Girilecek
b85dc768cd92ca1967fdb8f1824dab253d24905e-1705507307143;Vatandaşlık Konu: ;Kurum Girilecek
60667676529f328405c2941167509ce4aee42a91-1698774707137;TYT Fizik Konu: ;Kurum Girilecek
43e0c24a708ac8def75adeaf6b9f65e130d4bdd0-1716829208993;çocuk edebiyatı 1;Kurum Girilecek
